persid,most_used_mode
Y24H5810140P02,Vehicle Driver
Y24H5810140P03,Vehicle Driver
Y24H5810140P04,Vehicle Passenger
Y24H5810140P05,Vehicle Passenger
Y24H5810141P01,Vehicle Driver
Y24H5810202P01,Vehicle Driver
Y24H5810203P01,Vehicle Driver
Y24H5810203P02,Vehicle Driver
Y24H5810205P02,Vehicle Driver
Y24H5810205P03,Vehicle Passenger
Y24H5810205P04,Vehicle Driver
Y24H5810205P05,Vehicle Passenger
Y24H5810206P01,Vehicle Driver
Y24H5810206P02,Vehicle Passenger
Y24H5810206P03,Vehicle Driver
Y24H5810206P05,Vehicle Passenger
Y24H5810209P01,Vehicle Driver
Y24H5810209P02,Vehicle Passenger
Y24H5810209P03,Vehicle Driver
Y24H5810209P04,Vehicle Driver
Y24H5810209P05,Vehicle Passenger
Y24H5810215P01,Vehicle Driver
Y24H5810215P02,Vehicle Driver
Y24H5810215P03,Vehicle Driver
Y24H5810215P04,Vehicle Passenger
Y24H5810217P01,Vehicle Driver
Y24H5810218P01,Vehicle Driver
Y24H5810218P02,Vehicle Driver
Y24H5810218P03,Walking
Y24H5810228P02,Vehicle Passenger
Y24H5810228P03,Vehicle Driver
Y24H5810228P04,Vehicle Driver
Y24H5810228P05,Vehicle Passenger
Y24H5810228P06,Vehicle Passenger
Y24H5810229P01,Vehicle Driver
Y24H5810229P02,Walking
Y24H5810229P04,Vehicle Driver
Y24H5810229P05,Walking
Y24H5810231P01,Vehicle Driver
Y24H5810231P02,Vehicle Driver
Y24H5810231P04,Vehicle Passenger
Y24H5810232P01,Vehicle Passenger
Y24H5810232P02,Vehicle Driver
Y24H5810233P01,Vehicle Driver
Y24H5810233P02,Vehicle Driver
Y24H5810233P03,Vehicle Passenger
Y24H5810236P01,Vehicle Driver
Y24H5810236P02,Vehicle Driver
Y24H5810236P03,Walking
Y24H5810236P04,Vehicle Driver
Y24H5810237P01,Walking
Y24H5810241P01,Vehicle Driver
Y24H5810241P02,Vehicle Passenger
Y24H5810241P03,Vehicle Passenger
Y24H5810241P04,Vehicle Passenger
Y24H5810401P01,Walking
Y24H5810407P01,Vehicle Driver
Y24H5810409P01,Bicycle
Y24H5810416P01,Walking
Y24H5810416P02,Walking
Y24H5810418P01,Vehicle Driver
Y24H5810421P01,Rideshare Service
Y24H5810422P01,Vehicle Driver
Y24H5810423P01,Vehicle Driver
Y24H5810423P03,Vehicle Passenger
Y24H5810423P04,Vehicle Passenger
Y24H5810425P01,Vehicle Driver
Y24H5810427P01,Walking
Y24H5810431P02,Walking
Y24H5810431P03,Walking
Y24H5810433P01,Vehicle Passenger
Y24H5810433P02,Vehicle Passenger
Y24H5810433P03,Bicycle
Y24H5810435P02,Train
Y24H5810438P03,Tram
Y24H5810501P01,Vehicle Driver
Y24H5810501P03,Train
Y24H5810506P01,Vehicle Driver
Y24H5810506P02,Vehicle Passenger
Y24H5810508P01,Vehicle Driver
Y24H5810508P02,Vehicle Driver
Y24H5810508P03,Vehicle Passenger
Y24H5810509P01,Vehicle Driver
Y24H5810510P01,Vehicle Passenger
Y24H5810510P02,Vehicle Driver
Y24H5810511P01,Vehicle Driver
Y24H5810514P02,Vehicle Driver
Y24H5810522P01,Vehicle Driver
Y24H5810524P01,Vehicle Driver
Y24H5810524P02,Motorcycle
Y24H5810526P01,Walking
Y24H5810526P02,Vehicle Driver
Y24H5810526P03,Vehicle Driver
Y24H5810529P01,Walking
Y24H5810529P02,Vehicle Driver
Y24H5810529P03,Vehicle Passenger
Y24H5810529P04,Vehicle Passenger
Y24H5810530P01,Vehicle Driver
Y24H5810530P03,Vehicle Driver
Y24H5810530P04,Vehicle Driver
Y24H5810540P01,Vehicle Driver
Y24H5820101P03,Vehicle Driver
Y24H5820101P04,Vehicle Driver
Y24H5820103P01,Vehicle Driver
Y24H5820105P01,Vehicle Driver
Y24H5820105P02,Vehicle Passenger
Y24H5820106P01,Vehicle Driver
Y24H5820108P01,Vehicle Driver
Y24H5820108P02,Vehicle Driver
Y24H5820108P04,Vehicle Driver
Y24H5820109P01,Vehicle Driver
Y24H5820109P02,Vehicle Passenger
Y24H5820109P03,Vehicle Passenger
Y24H5820114P01,Walking
Y24H5820114P02,Walking
Y24H5820114P04,Vehicle Passenger
Y24H5820114P05,Vehicle Driver
Y24H5820117P02,Vehicle Driver
Y24H5820121P01,Vehicle Driver
Y24H5820121P03,Vehicle Passenger
Y24H5820121P04,Vehicle Passenger
Y24H5820128P02,Vehicle Passenger
Y24H5820128P03,Vehicle Driver
Y24H5820129P02,Vehicle Driver
Y24H5820129P03,Vehicle Driver
Y24H5820136P01,Vehicle Driver
Y24H5820136P02,Vehicle Driver
Y24H5820138P01,Walking
Y24H5820138P02,Vehicle Driver
Y24H5820138P03,Walking
Y24H5820142P01,Vehicle Driver
Y24H5820142P02,Vehicle Passenger
Y24H5820304P01,Train
Y24H5820304P02,Walking
Y24H5820308P01,Walking
Y24H5820308P02,Walking
Y24H5820308P03,Walking
Y24H5820308P04,Walking
Y24H5820308P05,Walking
Y24H5820308P06,Walking
Y24H5820309P01,Mobility Scooter
Y24H5820316P01,Vehicle Driver
Y24H5820316P02,Train
Y24H5820320P01,Vehicle Driver
Y24H5820320P02,Vehicle Passenger
Y24H5820324P02,Train
Y24H5820325P01,Vehicle Driver
Y24H5820325P02,Vehicle Passenger
Y24H5820325P03,Vehicle Passenger
Y24H5820326P02,Walking
Y24H5820326P03,Walking
Y24H5820326P04,Walking
Y24H5820328P01,Walking
Y24H5820328P02,Vehicle Driver
Y24H5820329P01,Walking
Y24H5820329P02,Train
Y24H5820330P01,Bicycle
Y24H5820330P02,Vehicle Driver
Y24H5820330P03,Vehicle Passenger
Y24H5820330P04,Vehicle Passenger
Y24H5820331P01,Vehicle Driver
Y24H5820334P01,Vehicle Driver
Y24H5820334P02,Vehicle Driver
Y24H5820334P03,Vehicle Passenger
Y24H5820335P01,Vehicle Passenger
Y24H5820335P02,Vehicle Driver
Y24H5820335P03,Vehicle Passenger
Y24H5820336P01,Walking
Y24H5820337P01,Public Bus
Y24H5820337P02,Walking
Y24H5820337P03,Public Bus
Y24H5820339P01,Vehicle Driver
Y24H5820339P02,Vehicle Passenger
Y24H5820342P01,Vehicle Passenger
Y24H5820408P01,Train
Y24H5820408P03,Vehicle Passenger
Y24H5820409P01,Vehicle Driver
Y24H5820411P01,Vehicle Driver
Y24H5820411P02,Vehicle Driver
Y24H5820411P03,Vehicle Driver
Y24H5820416P02,Vehicle Driver
Y24H5820417P01,Vehicle Driver
Y24H5820420P01,Vehicle Driver
Y24H5820420P02,Vehicle Driver
Y24H5820420P03,Vehicle Passenger
Y24H5820420P04,Vehicle Passenger
Y24H5820424P01,Vehicle Driver
Y24H5820424P02,Vehicle Driver
Y24H5820425P01,Vehicle Driver
Y24H5820425P03,Vehicle Passenger
Y24H5820428P02,Vehicle Driver
Y24H5820437P01,Vehicle Driver
Y24H5820437P02,Train
Y24H5820437P03,Train
Y24H5820437P04,Vehicle Passenger
Y24H5820439P01,Vehicle Driver
Y24H5820439P02,Vehicle Passenger
Y24H5820440P01,Vehicle Driver
Y24H5820440P02,Vehicle Driver
Y24H5820440P03,Vehicle Passenger
Y24H5820440P04,Vehicle Passenger
Y24H5820508P01,Vehicle Driver
Y24H5820508P02,Vehicle Passenger
Y24H5820511P01,Vehicle Driver
Y24H5820511P02,Vehicle Driver
Y24H5820511P04,Vehicle Passenger
Y24H5820514P01,Vehicle Driver
Y24H5820514P02,Vehicle Passenger
Y24H5820522P01,Vehicle Driver
Y24H5820523P02,Train
Y24H5820525P01,Vehicle Driver
Y24H5820525P02,Train
Y24H5820525P03,Walking
Y24H5820525P04,Train
Y24H5820525P05,Vehicle Passenger
Y24H5820527P01,Vehicle Driver
Y24H5820527P02,Vehicle Passenger
Y24H5820527P03,Vehicle Passenger
Y24H5820527P04,Vehicle Passenger
Y24H5820529P01,Vehicle Driver
Y24H5820529P03,Vehicle Passenger
Y24H5820529P04,Vehicle Passenger
Y24H5820535P01,Vehicle Driver
Y24H5820535P03,Vehicle Passenger
Y24H5820538P01,Vehicle Driver
Y24H5820542P01,Vehicle Driver
Y24H5820542P02,Vehicle Passenger
Y24H5830101P01,Walking
Y24H5830101P02,Vehicle Driver
Y24H5830102P01,Vehicle Driver
Y24H5830102P02,Vehicle Driver
Y24H5830102P03,Vehicle Passenger
Y24H5830104P01,Vehicle Driver
Y24H5830104P02,Vehicle Driver
Y24H5830108P01,Vehicle Driver
Y24H5830108P02,Vehicle Driver
Y24H5830108P03,Vehicle Passenger
Y24H5830110P01,Vehicle Driver
Y24H5830110P02,Vehicle Passenger
Y24H5830113P01,Vehicle Driver
Y24H5830113P02,Vehicle Passenger
Y24H5830115P01,Vehicle Driver
Y24H5830115P02,Vehicle Driver
Y24H5830115P03,Vehicle Driver
Y24H5830115P04,Vehicle Driver
Y24H5830118P02,Vehicle Driver
Y24H5830118P04,Vehicle Driver
Y24H5830118P05,Vehicle Driver
Y24H5830120P01,Vehicle Driver
Y24H5830120P02,Vehicle Passenger
Y24H5830120P03,Vehicle Driver
Y24H5830120P04,Vehicle Driver
Y24H5830122P01,Vehicle Driver
Y24H5830122P02,Public Bus
Y24H5830124P01,Train
Y24H5830124P03,Train
Y24H5830127P01,Vehicle Passenger
Y24H5830127P02,Vehicle Driver
Y24H5830128P01,Walking
Y24H5830129P01,Vehicle Driver
Y24H5830129P04,Vehicle Passenger
Y24H5830131P02,Vehicle Driver
Y24H5830132P01,Vehicle Driver
Y24H5830135P01,Vehicle Driver
Y24H5830135P02,Vehicle Driver
Y24H5830135P03,Vehicle Passenger
Y24H5830141P01,Vehicle Driver
Y24H5830141P02,Vehicle Passenger
Y24H5830142P01,Vehicle Driver
Y24H5830142P02,Walking
Y24H5830201P02,Public Bus
Y24H5830202P01,Vehicle Driver
Y24H5830202P02,Vehicle Driver
Y24H5830203P02,Vehicle Driver
Y24H5830204P01,Vehicle Driver
Y24H5830207P02,Vehicle Driver
Y24H5830209P01,Vehicle Driver
Y24H5830210P01,Vehicle Driver
Y24H5830212P01,Mobility Scooter
Y24H5830215P01,Vehicle Driver
Y24H5830216P01,Vehicle Driver
Y24H5830217P01,Vehicle Driver
Y24H5830217P02,Vehicle Driver
Y24H5830217P03,Vehicle Passenger
Y24H5830218P01,Vehicle Driver
Y24H5830218P02,Vehicle Passenger
Y24H5830218P03,Vehicle Passenger
Y24H5830222P01,Vehicle Driver
Y24H5830222P02,Vehicle Driver
Y24H5830222P03,Vehicle Passenger
Y24H5830224P01,Vehicle Driver
Y24H5830225P01,Vehicle Driver
Y24H5830226P01,Vehicle Driver
Y24H5830226P02,Vehicle Driver
Y24H5830238P01,Vehicle Driver
Y24H5830238P02,Vehicle Driver
Y24H5830238P03,Vehicle Passenger
Y24H5830238P04,Vehicle Passenger
Y24H5830240P01,Vehicle Driver
Y24H5830240P02,Vehicle Passenger
Y24H5830240P03,Vehicle Passenger
Y24H5830240P04,Vehicle Passenger
Y24H5830240P05,Vehicle Passenger
Y24H5830314P01,Walking
Y24H5830314P02,Walking
Y24H5830328P01,Vehicle Driver
Y24H5830502P01,Train
Y24H5830505P01,Vehicle Driver
Y24H5830508P01,Vehicle Driver
Y24H5830508P02,Vehicle Driver
Y24H5830508P03,Vehicle Driver
Y24H5830513P01,Vehicle Driver
Y24H5830525P01,Vehicle Driver
Y24H5830528P01,Vehicle Driver
Y24H5830528P02,Vehicle Passenger
Y24H5830542P01,Vehicle Driver
Y24H5830542P02,Vehicle Driver
Y24H5830542P03,Vehicle Passenger
Y24H5830542P04,Vehicle Passenger
Y24H5840209P01,Vehicle Driver
Y24H5840211P01,Train
Y24H5840211P02,School Bus
Y24H5840214P01,Vehicle Driver
Y24H5840214P02,Vehicle Passenger
Y24H5840220P01,Vehicle Driver
Y24H5840220P02,Vehicle Driver
Y24H5840220P03,Vehicle Driver
Y24H5840222P01,Vehicle Driver
Y24H5840227P02,Vehicle Driver
Y24H5840227P03,Vehicle Passenger
Y24H5840229P01,Vehicle Driver
Y24H5840230P01,Vehicle Driver
Y24H5840230P02,Vehicle Passenger
Y24H5840231P01,Walking
Y24H5840241P01,Vehicle Driver
Y24H5840301P01,Vehicle Driver
Y24H5840301P02,Vehicle Driver
Y24H5840301P03,Vehicle Passenger
Y24H5840301P04,Vehicle Passenger
Y24H5840302P01,Train
Y24H5840302P02,Public Bus
Y24H5840309P01,Walking
Y24H5840315P01,Vehicle Driver
Y24H5840316P01,Vehicle Driver
Y24H5840316P02,Vehicle Driver
Y24H5840316P03,Vehicle Passenger
Y24H5840319P01,Vehicle Driver
Y24H5840319P02,Vehicle Driver
Y24H5840319P03,Vehicle Passenger
Y24H5840319P04,Vehicle Passenger
Y24H5840321P01,Vehicle Driver
Y24H5840322P01,Vehicle Driver
Y24H5840322P02,Vehicle Passenger
Y24H5840322P03,Vehicle Passenger
Y24H5840325P01,Train
Y24H5840328P01,Vehicle Driver
Y24H5840328P02,Vehicle Passenger
Y24H5840333P01,Vehicle Driver
Y24H5840333P02,Vehicle Passenger
Y24H5840334P01,Walking
Y24H5840334P02,Vehicle Driver
Y24H5840335P01,Vehicle Driver
Y24H5840335P02,Walking
Y24H5840340P01,Vehicle Driver
Y24H5840340P02,Vehicle Driver
Y24H5840341P01,Vehicle Driver
Y24H5840402P01,Vehicle Driver
Y24H5840402P02,Vehicle Passenger
Y24H5840402P03,Vehicle Passenger
Y24H5840412P01,Vehicle Driver
Y24H5840412P02,Vehicle Driver
Y24H5840412P03,Vehicle Passenger
Y24H5840412P04,Vehicle Passenger
Y24H5840422P01,Vehicle Driver
Y24H5840422P02,Vehicle Driver
Y24H5840425P01,Vehicle Driver
Y24H5840431P01,Vehicle Driver
Y24H5840431P02,Vehicle Driver
Y24H5840431P03,Vehicle Passenger
Y24H5840501P01,Vehicle Driver
Y24H5840501P02,Vehicle Driver
Y24H5840501P03,Vehicle Passenger
Y24H5840503P01,Vehicle Driver
Y24H5840504P02,Vehicle Driver
Y24H5840504P04,Vehicle Passenger
Y24H5840504P05,Vehicle Passenger
Y24H5840516P02,Vehicle Driver
Y24H5840517P01,Vehicle Driver
Y24H5840517P02,Vehicle Driver
Y24H5840517P03,Vehicle Passenger
Y24H5840517P04,Vehicle Passenger
Y24H5840517P05,Vehicle Passenger
Y24H5840518P01,Vehicle Driver
Y24H5840520P01,Vehicle Driver
Y24H5840528P01,Vehicle Passenger
Y24H5840532P01,Public Bus
Y24H5840532P02,Vehicle Driver
Y24H5840532P03,Vehicle Passenger
Y24H5840537P01,Train
Y24H5840538P02,Vehicle Driver
Y24H5840539P02,Vehicle Driver
Y24H5850202P01,Train
Y24H5850202P02,Vehicle Driver
Y24H5850202P03,Vehicle Passenger
Y24H5850202P04,Vehicle Passenger
Y24H5850203P01,Walking
Y24H5850205P01,Walking
Y24H5850205P02,Vehicle Driver
Y24H5850206P01,Vehicle Driver
Y24H5850208P01,Vehicle Driver
Y24H5850208P02,Vehicle Driver
Y24H5850208P03,Vehicle Passenger
Y24H5850208P05,Vehicle Passenger
Y24H5850211P01,Vehicle Driver
Y24H5850212P01,Vehicle Driver
Y24H5850212P02,Vehicle Driver
Y24H5850212P03,Vehicle Passenger
Y24H5850219P01,Walking
Y24H5850219P03,Walking
Y24H5850219P04,Vehicle Driver
Y24H5850220P01,Vehicle Driver
Y24H5850224P01,Vehicle Driver
Y24H5850224P03,Public Bus
Y24H5850228P01,Vehicle Driver
Y24H5850228P02,Vehicle Driver
Y24H5850231P01,Vehicle Driver
Y24H5850231P03,Public Bus
Y24H5850235P02,Vehicle Driver
Y24H5850235P04,Vehicle Passenger
Y24H5850238P01,Vehicle Driver
Y24H5850240P01,Walking
Y24H5850302P01,Walking
Y24H5850309P01,Walking
Y24H5850310P01,Vehicle Driver
Y24H5850310P02,Vehicle Driver
Y24H5850310P03,Walking
Y24H5850310P04,Vehicle Passenger
Y24H5850310P05,Vehicle Passenger
Y24H5850311P02,Walking
Y24H5850317P01,Tram
Y24H5850318P01,Walking
Y24H5850318P02,Walking
Y24H5850318P03,Vehicle Passenger
Y24H5850319P01,Walking
Y24H5850319P02,Walking
Y24H5850319P03,Walking
Y24H5850319P04,Walking
Y24H5850320P01,Walking
Y24H5850320P02,Walking
Y24H5850321P01,Walking
Y24H5850332P01,Vehicle Driver
Y24H5850334P01,Walking
Y24H5850340P02,Walking
Y24H5850342P01,Walking
Y24H5850506P01,Vehicle Passenger
Y24H5850506P02,Vehicle Driver
Y24H5850508P01,Vehicle Driver
Y24H5850508P02,Train
Y24H5850515P01,Vehicle Driver
Y24H5850515P02,Train
Y24H5850515P03,Vehicle Passenger
Y24H5850516P01,Vehicle Driver
Y24H5850516P02,Vehicle Passenger
Y24H5850516P03,Vehicle Passenger
Y24H5850521P01,Vehicle Passenger
Y24H5850521P02,Vehicle Driver
Y24H5850524P01,Vehicle Driver
Y24H5850524P02,Vehicle Driver
Y24H5850524P03,Vehicle Driver
Y24H5850524P04,Vehicle Passenger
Y24H5850531P01,Vehicle Driver
Y24H5850540P01,Vehicle Driver
Y24H5850540P02,Vehicle Driver
Y24H5850540P03,Vehicle Passenger
Y24H5860101P01,Walking
Y24H5860101P02,Vehicle Driver
Y24H5860103P02,Vehicle Driver
Y24H5860105P01,Vehicle Driver
Y24H5860105P02,Walking
Y24H5860105P03,Vehicle Driver
Y24H5860105P04,Train
Y24H5860112P01,Walking
Y24H5860113P01,Walking
Y24H5860113P02,Walking
Y24H5860117P01,Vehicle Driver
Y24H5860118P01,Vehicle Driver
Y24H5860118P02,Vehicle Passenger
Y24H5860118P03,Vehicle Driver
Y24H5860118P04,Vehicle Driver
Y24H5860121P01,Walking
Y24H5860121P02,Vehicle Driver
Y24H5860122P01,Vehicle Driver
Y24H5860122P02,Vehicle Driver
Y24H5860123P01,Train
Y24H5860123P02,Vehicle Driver
Y24H5860123P04,Vehicle Passenger
Y24H5860126P01,Vehicle Driver
Y24H5860126P02,Vehicle Passenger
Y24H5860127P01,Walking
Y24H5860127P02,Walking
Y24H5860127P03,Walking
Y24H5860132P01,Walking
Y24H5860132P02,Vehicle Driver
Y24H5860132P03,Vehicle Passenger
Y24H5860135P01,Vehicle Driver
Y24H5860135P02,Vehicle Passenger
Y24H5860135P03,Vehicle Driver
Y24H5860135P04,Vehicle Passenger
Y24H5860141P01,Vehicle Driver
Y24H5860142P01,Vehicle Driver
Y24H5860203P01,Vehicle Driver
Y24H5860208P01,Walking
Y24H5860209P01,Walking
Y24H5860212P01,Vehicle Driver
Y24H5860212P02,Train
Y24H5860213P01,Walking
Y24H5860218P02,Vehicle Driver
Y24H5860219P01,Other
Y24H5860220P01,Vehicle Driver
Y24H5860223P01,Vehicle Driver
Y24H5860223P02,Vehicle Driver
Y24H5860230P01,Vehicle Driver
Y24H5860230P02,Vehicle Passenger
Y24H5860230P03,Vehicle Passenger
Y24H5860233P01,Vehicle Driver
Y24H5860233P02,Vehicle Passenger
Y24H5860234P01,Vehicle Driver
Y24H5860239P01,Vehicle Passenger
Y24H5860239P02,Vehicle Driver
Y24H5860301P01,Vehicle Driver
Y24H5860301P02,Vehicle Passenger
Y24H5860301P03,Vehicle Passenger
Y24H5860303P01,Vehicle Driver
Y24H5860304P01,Vehicle Driver
Y24H5860311P01,Vehicle Driver
Y24H5860315P01,Vehicle Driver
Y24H5860316P01,Vehicle Driver
Y24H5860319P01,Vehicle Driver
Y24H5860319P02,Vehicle Driver
Y24H5860323P01,Vehicle Driver
Y24H5860325P02,Train
Y24H5860326P01,Train
Y24H5860326P02,Train
Y24H5860326P03,Walking
Y24H5860327P02,Walking
Y24H5860330P01,Vehicle Driver
Y24H5860330P02,Vehicle Driver
Y24H5860333P01,Vehicle Driver
Y24H5860333P02,Bicycle
Y24H5860333P03,Bicycle
Y24H5860333P04,Bicycle
Y24H5860333P05,Vehicle Passenger
Y24H5860334P01,Vehicle Driver
Y24H5860336P01,Walking
Y24H5860336P02,Bicycle
Y24H5860336P03,Walking
Y24H5860337P01,Train
Y24H5860337P02,Vehicle Driver
Y24H5860337P03,Vehicle Passenger
Y24H5860339P01,Walking
Y24H5860342P01,Vehicle Driver
Y24H5860406P01,Rideshare Service
Y24H5860406P02,Vehicle Driver
Y24H5860407P01,Vehicle Driver
Y24H5860407P02,Vehicle Driver
Y24H5860407P03,Running/jogging
Y24H5860407P04,Vehicle Passenger
Y24H5860413P01,Vehicle Driver
Y24H5860413P02,Vehicle Driver
Y24H5860413P03,Vehicle Passenger
Y24H5860415P01,Vehicle Driver
Y24H5860415P02,Walking
Y24H5860415P03,Vehicle Driver
Y24H5860415P04,Walking
Y24H5860415P05,Walking
Y24H5860420P01,Vehicle Driver
Y24H5860421P03,Vehicle Driver
Y24H5860425P01,Walking
Y24H5860425P02,Walking
Y24H5860425P03,Walking
Y24H5860432P01,Vehicle Driver
Y24H5860432P02,Vehicle Passenger
Y24H5860432P03,Vehicle Passenger
Y24H5860432P04,Vehicle Passenger
Y24H5860434P01,Vehicle Driver
Y24H5860438P01,Walking
Y24H5860441P01,Vehicle Driver
Y24H5860441P02,Vehicle Passenger
Y24H5870102P02,Vehicle Driver
Y24H5870105P02,Walking
Y24H5870108P01,Vehicle Driver
Y24H5870108P02,Vehicle Driver
Y24H5870112P01,Vehicle Driver
Y24H5870112P02,Vehicle Passenger
Y24H5870113P01,Vehicle Driver
Y24H5870115P02,Vehicle Driver
Y24H5870115P03,Vehicle Driver
Y24H5870115P04,Vehicle Passenger
Y24H5870115P05,Vehicle Passenger
Y24H5870116P01,Walking
Y24H5870116P02,Vehicle Driver
Y24H5870116P04,Vehicle Passenger
Y24H5870122P01,Vehicle Driver
Y24H5870122P02,Vehicle Driver
Y24H5870122P03,Vehicle Passenger
Y24H5870124P01,Vehicle Driver
Y24H5870124P02,Vehicle Driver
Y24H5870126P01,Vehicle Driver
Y24H5870128P01,Vehicle Driver
Y24H5870128P02,Vehicle Passenger
Y24H5870128P03,Vehicle Passenger
Y24H5870128P04,Vehicle Passenger
Y24H5870131P01,Vehicle Driver
Y24H5870133P01,Vehicle Driver
Y24H5870134P01,Vehicle Passenger
Y24H5870134P02,Vehicle Driver
Y24H5870134P03,Vehicle Passenger
Y24H5870140P01,Vehicle Driver
Y24H5870141P01,Vehicle Driver
Y24H5870302P02,Vehicle Driver
Y24H5870302P03,Vehicle Driver
Y24H5870302P04,Public Bus
Y24H5870303P01,Vehicle Driver
Y24H5870303P02,Vehicle Driver
Y24H5870303P03,Vehicle Passenger
Y24H5870303P04,Vehicle Passenger
Y24H5870303P05,Vehicle Passenger
Y24H5870304P01,Vehicle Driver
Y24H5870304P03,Vehicle Passenger
Y24H5870304P04,Vehicle Passenger
Y24H5870306P01,Vehicle Driver
Y24H5870306P02,Vehicle Passenger
Y24H5870308P01,Vehicle Driver
Y24H5870308P02,Vehicle Driver
Y24H5870310P03,Vehicle Driver
Y24H5870311P01,Vehicle Driver
Y24H5870313P01,Walking
Y24H5870313P02,Vehicle Driver
Y24H5870314P01,Vehicle Driver
Y24H5870315P01,Vehicle Driver
Y24H5870316P01,Vehicle Driver
Y24H5870316P02,Vehicle Passenger
Y24H5870316P03,Vehicle Driver
Y24H5870318P01,Vehicle Driver
Y24H5870323P01,Vehicle Driver
Y24H5870323P02,Vehicle Passenger
Y24H5870324P01,Vehicle Passenger
Y24H5870324P02,Vehicle Driver
Y24H5870329P01,Vehicle Driver
Y24H5870336P01,Vehicle Driver
Y24H5870336P02,Public Bus
Y24H5870338P01,Vehicle Driver
Y24H5870338P02,Vehicle Driver
Y24H5870339P01,Vehicle Driver
Y24H5870339P02,Vehicle Passenger
Y24H5870341P01,Vehicle Driver
Y24H5870341P02,Vehicle Passenger
Y24H5870341P03,Vehicle Passenger
Y24H5870401P01,Vehicle Driver
Y24H5870402P01,Vehicle Driver
Y24H5870405P01,Vehicle Driver
Y24H5870407P01,Vehicle Driver
Y24H5870408P01,Vehicle Driver
Y24H5870409P01,Motorcycle
Y24H5870409P02,Walking
Y24H5870411P01,Vehicle Driver
Y24H5870412P01,Vehicle Driver
Y24H5870412P02,Vehicle Driver
Y24H5870413P01,Vehicle Driver
Y24H5870413P02,Vehicle Passenger
Y24H5870414P01,Vehicle Driver
Y24H5870414P02,Vehicle Passenger
Y24H5870414P03,Vehicle Passenger
Y24H5870414P04,Vehicle Passenger
Y24H5870415P01,Vehicle Passenger
Y24H5870417P01,Vehicle Driver
Y24H5870417P02,Vehicle Driver
Y24H5870417P03,Vehicle Passenger
Y24H5870417P04,Vehicle Passenger
Y24H5870418P01,Vehicle Driver
Y24H5870422P02,Vehicle Driver
Y24H5870426P01,Vehicle Driver
Y24H5870426P02,Vehicle Driver
Y24H5870426P03,Vehicle Passenger
Y24H5870426P04,Walking
Y24H5870427P01,Vehicle Driver
Y24H5870427P02,Vehicle Passenger
Y24H5870428P01,Walking
Y24H5870428P02,Vehicle Driver
Y24H5870430P01,Walking
Y24H5870432P01,Vehicle Driver
Y24H5870504P01,Vehicle Driver
Y24H5870504P03,Vehicle Passenger
Y24H5870504P04,Vehicle Driver
Y24H5870505P01,Vehicle Passenger
Y24H5870507P01,Vehicle Driver
Y24H5870507P02,Vehicle Passenger
Y24H5870507P03,Vehicle Passenger
Y24H5870507P04,Vehicle Passenger
Y24H5870510P01,Vehicle Driver
Y24H5870510P02,Vehicle Driver
Y24H5870516P01,Vehicle Driver
Y24H5870517P01,Vehicle Driver
Y24H5870524P01,Train
Y24H5870525P01,Train
Y24H5870528P01,Vehicle Passenger
Y24H5870528P02,Vehicle Driver
Y24H5870528P03,Vehicle Passenger
Y24H5870528P04,Vehicle Passenger
Y24H5870531P02,Vehicle Driver
Y24H5870531P03,Vehicle Passenger
Y24H5870537P01,Vehicle Driver
Y24H5870537P03,Vehicle Passenger
Y24H5870537P04,Vehicle Passenger
Y24H5870537P05,Vehicle Passenger
Y24H5880104P01,Vehicle Driver
Y24H5880104P02,Vehicle Driver
Y24H5880104P04,Vehicle Passenger
Y24H5880107P01,Walking
Y24H5880112P01,Walking
Y24H5880112P02,Walking
Y24H5880114P01,Vehicle Driver
Y24H5880114P02,Vehicle Passenger
Y24H5880114P03,Vehicle Passenger
Y24H5880115P01,Vehicle Driver
Y24H5880116P01,Vehicle Driver
Y24H5880116P02,Vehicle Driver
Y24H5880116P03,Vehicle Passenger
Y24H5880116P04,Vehicle Passenger
Y24H5880117P01,Vehicle Driver
Y24H5880117P02,Vehicle Driver
Y24H5880118P01,Vehicle Driver
Y24H5880118P02,Vehicle Passenger
Y24H5880123P01,Walking
Y24H5880123P02,Walking
Y24H5880131P01,Vehicle Driver
Y24H5880131P02,Vehicle Driver
Y24H5880142P01,Vehicle Passenger
Y24H5880142P02,Vehicle Driver
Y24H5880201P01,Vehicle Driver
Y24H5880202P01,Vehicle Driver
Y24H5880204P01,Bicycle
Y24H5880204P02,Vehicle Driver
Y24H5880205P01,Vehicle Driver
Y24H5880206P01,Vehicle Driver
Y24H5880206P02,Vehicle Driver
Y24H5880206P03,Vehicle Passenger
Y24H5880209P01,Vehicle Driver
Y24H5880209P02,Vehicle Passenger
Y24H5880209P03,Vehicle Passenger
Y24H5880212P01,Vehicle Driver
Y24H5880212P02,Vehicle Driver
Y24H5880212P03,Vehicle Driver
Y24H5880214P01,Vehicle Driver
Y24H5880216P01,Vehicle Driver
Y24H5880218P01,Vehicle Driver
Y24H5880219P02,Vehicle Driver
Y24H5880220P01,Vehicle Driver
Y24H5880220P02,Vehicle Passenger
Y24H5880221P01,Walking
Y24H5880221P02,Walking
Y24H5880222P01,Vehicle Driver
Y24H5880223P01,Vehicle Driver
Y24H5880224P01,Vehicle Driver
Y24H5880224P03,Vehicle Passenger
Y24H5880225P02,Vehicle Driver
