persid,most_used_mode
Y24H5750417P05,Vehicle Passenger
Y24H5750417P06,Vehicle Passenger
Y24H5750418P01,Vehicle Driver
Y24H5750418P02,Vehicle Driver
Y24H5750418P03,Vehicle Driver
Y24H5750418P04,Vehicle Passenger
Y24H5750418P05,Vehicle Passenger
Y24H5750419P01,Vehicle Driver
Y24H5750419P02,Vehicle Passenger
Y24H5750420P01,Vehicle Driver
Y24H5750424P02,Vehicle Driver
Y24H5750426P01,Vehicle Driver
Y24H5750426P02,Public Bus
Y24H5750430P01,Vehicle Driver
Y24H5750430P03,Vehicle Passenger
Y24H5750430P04,Vehicle Passenger
Y24H5750431P02,Vehicle Driver
Y24H5750436P01,Vehicle Driver
Y24H5750436P02,Vehicle Driver
Y24H5750436P03,Vehicle Driver
Y24H5750436P04,Vehicle Passenger
Y24H5750436P05,Vehicle Passenger
Y24H5750437P01,Vehicle Driver
Y24H5750442P01,Vehicle Driver
Y24H5750442P02,Rideshare Service
Y24H5760202P01,Vehicle Driver
Y24H5760203P01,Vehicle Driver
Y24H5760203P02,Walking
Y24H5760203P03,Vehicle Passenger
Y24H5760203P04,Walking
Y24H5760205P01,Walking
Y24H5760206P02,Walking
Y24H5760206P03,Vehicle Driver
Y24H5760206P04,Vehicle Driver
Y24H5760206P05,Vehicle Driver
Y24H5760207P01,Vehicle Driver
Y24H5760211P01,Vehicle Driver
Y24H5760215P01,Vehicle Driver
Y24H5760215P03,Vehicle Passenger
Y24H5760218P01,Vehicle Driver
Y24H5760231P01,Vehicle Driver
Y24H5760231P02,Vehicle Driver
Y24H5760231P03,Vehicle Passenger
Y24H5760232P01,Vehicle Driver
Y24H5760232P02,Vehicle Driver
Y24H5760232P03,Vehicle Passenger
Y24H5760235P01,Motorcycle
Y24H5760235P02,Vehicle Driver
Y24H5760235P03,Vehicle Passenger
Y24H5760236P01,Vehicle Driver
Y24H5760236P02,Vehicle Driver
Y24H5760237P01,Vehicle Driver
Y24H5760237P02,Vehicle Driver
Y24H5760238P01,Vehicle Driver
Y24H5760238P02,Vehicle Driver
Y24H5760240P01,Vehicle Driver
Y24H5760240P02,Vehicle Driver
Y24H5760242P01,Walking
Y24H5760242P02,Walking
Y24H5760242P03,Walking
Y24H5760242P04,Walking
Y24H5760307P01,Vehicle Driver
Y24H5760307P02,Vehicle Passenger
Y24H5760307P04,Vehicle Passenger
Y24H5760310P01,Walking
Y24H5760310P02,Walking
Y24H5760312P01,Tram
Y24H5760312P02,Vehicle Driver
Y24H5760313P01,Vehicle Driver
Y24H5760313P02,Vehicle Passenger
Y24H5760313P03,Vehicle Passenger
Y24H5760323P01,Walking
Y24H5760323P02,Train
Y24H5760326P01,Vehicle Driver
Y24H5760326P02,Vehicle Driver
Y24H5760327P01,Walking
Y24H5760327P02,Vehicle Driver
Y24H5760327P03,Walking
Y24H5760328P01,Vehicle Driver
Y24H5760328P02,Train
Y24H5760329P01,Vehicle Driver
Y24H5760329P02,Vehicle Driver
Y24H5760329P03,Vehicle Driver
Y24H5760329P04,Public Bus
Y24H5760330P01,Vehicle Driver
Y24H5760330P02,Tram
Y24H5760331P01,Vehicle Driver
Y24H5760331P02,Train
Y24H5760331P03,Vehicle Passenger
Y24H5760336P01,Vehicle Driver
Y24H5760336P02,Vehicle Driver
Y24H5760339P01,Vehicle Driver
Y24H5760341P01,Vehicle Driver
Y24H5760341P04,Vehicle Passenger
Y24H5760341P05,Vehicle Passenger
Y24H5760405P01,Vehicle Driver
Y24H5760405P02,Vehicle Passenger
Y24H5760406P01,Vehicle Driver
Y24H5760406P02,Vehicle Driver
Y24H5760406P03,Vehicle Passenger
Y24H5760406P04,Vehicle Passenger
Y24H5760407P01,Walking
Y24H5760409P01,Vehicle Driver
Y24H5760411P01,Vehicle Driver
Y24H5760412P01,Vehicle Driver
Y24H5760414P01,Vehicle Driver
Y24H5760414P02,Vehicle Passenger
Y24H5760417P01,Vehicle Passenger
Y24H5760417P02,Walking
Y24H5760420P01,Vehicle Driver
Y24H5760424P01,Vehicle Driver
Y24H5760424P02,Vehicle Driver
Y24H5760424P03,Vehicle Passenger
Y24H5760424P04,Vehicle Passenger
Y24H5760425P01,Vehicle Driver
Y24H5760425P02,Walking
Y24H5760435P01,Walking
Y24H5760436P01,Vehicle Driver
Y24H5760440P01,Vehicle Passenger
Y24H5760440P02,Vehicle Driver
Y24H5760502P01,Vehicle Driver
Y24H5760502P02,Vehicle Driver
Y24H5760511P01,Vehicle Passenger
Y24H5760511P02,Vehicle Passenger
Y24H5760511P03,Vehicle Passenger
Y24H5760511P04,Vehicle Driver
Y24H5760511P05,Vehicle Passenger
Y24H5760511P06,Vehicle Passenger
Y24H5760514P01,Vehicle Driver
Y24H5760514P02,Vehicle Passenger
Y24H5760514P03,Vehicle Passenger
Y24H5760521P01,Vehicle Driver
Y24H5760521P02,Vehicle Passenger
Y24H5760523P01,Vehicle Passenger
Y24H5760523P02,Vehicle Driver
Y24H5760523P03,Vehicle Passenger
Y24H5760523P04,Vehicle Passenger
Y24H5760523P05,Vehicle Passenger
Y24H5760525P02,Vehicle Driver
Y24H5760525P03,Vehicle Passenger
Y24H5760527P01,Vehicle Passenger
Y24H5760527P02,Vehicle Driver
Y24H5760527P03,Vehicle Passenger
Y24H5760527P04,Vehicle Passenger
Y24H5760527P05,Vehicle Passenger
Y24H5760527P06,Vehicle Passenger
Y24H5760533P01,Motorcycle
Y24H5760533P02,Vehicle Driver
Y24H5760533P03,Vehicle Passenger
Y24H5760533P04,Vehicle Passenger
Y24H5760534P02,Vehicle Passenger
Y24H5760534P03,Vehicle Driver
Y24H5760534P04,Vehicle Driver
Y24H5760537P01,Vehicle Driver
Y24H5760537P02,Train
Y24H5760537P03,Walking
Y24H5760537P04,Vehicle Passenger
Y24H5760537P05,Vehicle Passenger
Y24H5760540P01,Public Bus
Y24H5760540P02,Vehicle Driver
Y24H5760540P03,Vehicle Driver
Y24H5770201P03,Vehicle Passenger
Y24H5770201P04,Vehicle Passenger
Y24H5770204P01,Vehicle Driver
Y24H5770204P02,Vehicle Driver
Y24H5770209P01,Vehicle Driver
Y24H5770209P03,Vehicle Passenger
Y24H5770209P04,Vehicle Driver
Y24H5770210P01,Walking
Y24H5770212P01,Vehicle Driver
Y24H5770212P02,Vehicle Driver
Y24H5770212P03,Vehicle Passenger
Y24H5770212P04,Vehicle Passenger
Y24H5770216P01,Vehicle Driver
Y24H5770216P02,Vehicle Driver
Y24H5770218P01,Vehicle Driver
Y24H5770218P02,Vehicle Driver
Y24H5770227P01,Vehicle Driver
Y24H5770232P01,Vehicle Driver
Y24H5770233P01,Vehicle Driver
Y24H5770233P02,Vehicle Driver
Y24H5770234P01,Vehicle Driver
Y24H5770235P01,Vehicle Driver
Y24H5770237P01,Vehicle Driver
Y24H5770237P02,Plane
Y24H5770237P03,Vehicle Driver
Y24H5770237P04,Walking
Y24H5770237P05,Vehicle Passenger
Y24H5770239P01,Vehicle Passenger
Y24H5770239P02,Train
Y24H5770240P01,Vehicle Driver
Y24H5770240P02,Vehicle Driver
Y24H5770240P03,Vehicle Passenger
Y24H5770241P01,Bicycle
Y24H5770322P01,Bicycle
Y24H5770322P03,Walking
Y24H5770323P01,Vehicle Driver
Y24H5770323P02,Vehicle Passenger
Y24H5770324P01,Bicycle
Y24H5770324P02,Walking
Y24H5770324P04,Walking
Y24H5770327P01,Vehicle Passenger
Y24H5770327P02,Walking
Y24H5770330P01,Vehicle Driver
Y24H5770335P01,Tram
Y24H5770336P01,Vehicle Driver
Y24H5770336P02,Walking
Y24H5770338P01,Vehicle Driver
Y24H5770342P01,Vehicle Driver
Y24H5770342P02,Vehicle Driver
Y24H5770504P01,Walking
Y24H5770506P01,Vehicle Driver
Y24H5770506P02,Vehicle Passenger
Y24H5770515P01,Train
Y24H5770517P01,Train
Y24H5770517P02,Walking
Y24H5770517P03,Walking
Y24H5770518P01,Vehicle Driver
Y24H5770521P01,Vehicle Passenger
Y24H5770521P02,Vehicle Driver
Y24H5770521P03,Vehicle Passenger
Y24H5770530P01,Train
Y24H5770541P01,Walking
Y24H5780104P01,Vehicle Passenger
Y24H5780104P02,Vehicle Driver
Y24H5780104P03,Vehicle Driver
Y24H5780108P01,Vehicle Driver
Y24H5780108P02,Vehicle Driver
Y24H5780108P03,Vehicle Passenger
Y24H5780108P04,Vehicle Passenger
Y24H5780109P02,Vehicle Driver
Y24H5780109P03,Vehicle Driver
Y24H5780109P04,Vehicle Driver
Y24H5780114P01,Vehicle Driver
Y24H5780115P02,Vehicle Driver
Y24H5780122P01,Vehicle Passenger
Y24H5780122P02,Taxi
Y24H5780122P03,Vehicle Driver
Y24H5780126P01,Vehicle Driver
Y24H5780126P02,Vehicle Passenger
Y24H5780130P01,Vehicle Driver
Y24H5780130P02,Vehicle Driver
Y24H5780130P03,Vehicle Driver
Y24H5780136P01,Vehicle Driver
Y24H5780136P02,Vehicle Driver
Y24H5780138P03,Vehicle Driver
Y24H5780138P05,Vehicle Driver
Y24H5780140P01,Vehicle Driver
Y24H5780140P02,Train
Y24H5780140P03,Vehicle Passenger
Y24H5780140P04,Vehicle Passenger
Y24H5780201P01,Vehicle Driver
Y24H5780201P02,Vehicle Driver
Y24H5780203P02,Vehicle Driver
Y24H5780203P03,Rideshare Service
Y24H5780204P01,Vehicle Driver
Y24H5780204P02,Vehicle Driver
Y24H5780204P03,Vehicle Passenger
Y24H5780204P04,Vehicle Passenger
Y24H5780209P01,Vehicle Driver
Y24H5780209P02,Other
Y24H5780215P02,Vehicle Driver
Y24H5780216P02,Vehicle Driver
Y24H5780220P01,Vehicle Driver
Y24H5780303P01,Vehicle Driver
Y24H5780303P02,Vehicle Passenger
Y24H5780303P03,Vehicle Passenger
Y24H5780308P01,Bicycle
Y24H5780308P02,Walking
Y24H5780308P03,School Bus
Y24H5780308P04,School Bus
Y24H5780309P01,Vehicle Driver
Y24H5780311P01,Vehicle Driver
Y24H5780311P02,Vehicle Driver
Y24H5780314P01,Vehicle Driver
Y24H5780314P02,Vehicle Passenger
Y24H5780315P01,Vehicle Driver
Y24H5780315P02,Vehicle Passenger
Y24H5780318P01,Vehicle Driver
Y24H5780318P02,Vehicle Driver
Y24H5780318P03,Vehicle Driver
Y24H5780318P04,School Bus
Y24H5780318P05,School Bus
Y24H5780320P01,Walking
Y24H5780320P02,Walking
Y24H5780320P03,Vehicle Passenger
Y24H5780320P04,School Bus
Y24H5780322P01,Walking
Y24H5780322P02,Walking
Y24H5780323P01,Train
Y24H5780324P01,Vehicle Driver
Y24H5780324P02,Vehicle Driver
Y24H5780324P03,Vehicle Passenger
Y24H5780324P04,Vehicle Passenger
Y24H5780324P05,Vehicle Passenger
Y24H5780325P01,Walking
Y24H5780327P01,Train
Y24H5780327P02,Vehicle Driver
Y24H5780327P03,Vehicle Passenger
Y24H5780328P01,Walking
Y24H5780330P01,Vehicle Driver
Y24H5780330P02,Vehicle Driver
Y24H5780330P03,Vehicle Passenger
Y24H5780330P04,Vehicle Passenger
Y24H5780334P02,Vehicle Driver
Y24H5780338P01,Tram
Y24H5780341P01,Vehicle Driver
Y24H5780341P02,Walking
Y24H5780404P01,Train
Y24H5780404P02,Walking
Y24H5780405P01,Walking
